iter	Passed	Remaining
0	3	384
1	7	356
2	10	348
3	13	330
4	17	335
5	21	335
6	25	343
7	29	340
8	33	336
9	36	328
10	39	321
11	43	316
12	47	315
13	50	312
14	54	307
15	57	302
16	61	300
17	65	298
18	70	301
19	75	301
20	79	297
21	82	292
22	86	289
23	89	284
24	93	279
25	96	274
26	98	267
27	101	260
28	103	254
29	105	246
30	107	238
31	108	231
32	110	224
33	112	217
34	113	210
35	115	204
36	116	198
37	117	192
38	119	186
39	120	180
40	121	175
41	122	169
42	123	164
43	125	159
44	126	154
45	127	149
46	129	145
47	130	141
48	132	137
49	133	133
50	135	129
51	136	125
52	137	122
53	139	118
54	139	114
55	141	111
56	142	107
57	144	104
58	145	101
59	146	97
60	147	94
61	149	91
62	150	88
63	151	85
64	153	82
65	154	79
66	155	76
67	157	73
68	158	71
69	159	68
70	161	65
71	162	63
72	163	60
73	165	58
74	166	55
75	167	53
76	169	50
77	170	48
78	171	45
79	172	43
80	174	40
81	175	38
82	176	36
83	177	33
84	179	31
85	180	29
86	181	27
87	182	24
88	184	22
89	185	20
90	186	18
91	188	16
92	189	14
93	191	12
94	192	10
95	193	8
96	194	6
97	196	4
98	197	1
99	198	0
