iter	Passed	Remaining
0	231	231665
1	241	120405
2	246	81915
3	254	63354
4	259	51623
5	263	43712
6	270	38318
7	272	33808
8	275	30346
9	278	27530
10	282	25355
11	284	23451
12	286	21781
13	288	20348
14	291	19171
15	298	18335
16	300	17370
17	302	16504
18	304	15733
19	306	15019
20	313	14606
21	315	14019
22	317	13487
23	319	12990
24	321	12525
25	323	12135
26	326	11772
27	328	11412
28	330	11063
29	332	10749
30	334	10457
31	339	10270
32	342	10027
33	344	9777
34	346	9556
35	348	9330
36	350	9117
37	354	8977
38	356	8791
39	358	8606
40	360	8427
41	361	8256
42	363	8099
43	369	8030
44	372	7900
45	374	7757
46	375	7620
47	377	7493
48	379	7369
49	383	7287
50	385	7178
51	387	7067
52	389	6957
53	391	6850
54	392	6748
55	401	6760
56	402	6663
57	404	6572
58	406	6485
59	408	6400
60	410	6316
61	413	6248
62	414	6171
63	416	6094
64	418	6022
65	420	5948
66	422	5878
67	423	5808
68	426	5759
69	428	5695
70	430	5630
71	432	5570
72	433	5509
73	435	5451
74	437	5397
75	440	5355
76	443	5311
77	444	5258
78	446	5205
79	448	5153
80	449	5105
81	451	5059
82	452	5004
83	458	4998
84	460	4956
85	462	4910
86	463	4867
87	465	4827
88	467	4784
89	469	4742
90	471	4708
91	473	4671
92	475	4633
93	476	4596
94	478	4558
95	480	4521
96	481	4485
97	483	4448
98	488	4442
99	489	4407
100	491	4375
101	493	4343
102	495	4311
103	496	4278
104	498	4246
105	501	4229
106	503	4203
107	505	4174
108	507	4145
109	508	4116
110	510	4088
111	512	4062
112	516	4056
113	518	4029
114	520	4002
115	521	3975
116	523	3947
117	524	3921
118	526	3896
119	528	3872
120	530	3853
121	532	3829
122	533	3806
123	535	3783
124	537	3761
125	538	3738
126	540	3714
127	542	3693
128	546	3692
129	548	3671
130	550	3649
131	552	3630
132	553	3610
133	555	3590
134	557	3571
135	561	3569
136	563	3551
137	565	3532
138	567	3513
139	568	3494
140	570	3475
141	571	3453
142	575	3451
143	577	3432
144	578	3413
145	580	3397
146	582	3379
147	583	3361
148	585	3344
149	587	3328
150	589	3315
151	591	3300
152	593	3284
153	594	3267
154	596	3251
155	598	3236
156	599	3220
157	601	3205
158	606	3205
159	607	3191
160	609	3174
161	610	3159
162	612	3144
163	613	3129
164	615	3116
165	617	3102
166	620	3092
167	621	3079
168	623	3065
169	625	3051
170	626	3039
171	628	3027
172	630	3014
173	632	3001
174	637	3003
175	638	2991
176	640	2978
177	642	2965
178	643	2953
179	645	2941
180	647	2928
181	650	2922
182	652	2911
183	653	2900
184	655	2888
185	657	2877
186	659	2866
187	660	2854
188	662	2844
189	667	2843
190	668	2832
191	670	2821
192	672	2810
193	673	2800
194	675	2789
195	677	2778
196	680	2772
197	681	2761
198	683	2750
199	685	2741
200	687	2731
201	688	2721
202	690	2712
203	692	2702
204	697	2705
205	699	2695
206	700	2685
207	702	2675
208	704	2666
209	706	2656
210	709	2651
211	711	2644
212	713	2636
213	716	2630
214	718	2621
215	719	2612
216	721	2603
217	726	2605
218	730	2604
219	732	2598
220	735	2591
221	736	2582
222	744	2593
223	747	2590
224	751	2588
225	754	2583
226	758	2581
227	760	2573
228	762	2566
229	764	2559
230	769	2562
231	772	2555
232	774	2548
233	776	2540
234	778	2532
235	780	2526
236	787	2534
237	789	2527
238	791	2519
239	793	2511
240	795	2504
241	798	2500
242	800	2493
243	802	2485
244	803	2476
245	805	2468
246	807	2461
247	809	2453
248	811	2448
249	813	2441
250	815	2432
251	816	2424
252	818	2416
253	821	2413
254	823	2405
255	825	2399
256	828	2395
257	830	2387
258	831	2380
259	833	2373
260	835	2366
261	837	2358
262	839	2351
263	844	2355
264	846	2347
265	848	2342
266	850	2334
267	851	2326
268	853	2319
269	855	2311
270	857	2305
271	858	2298
272	860	2291
273	862	2285
274	864	2278
275	865	2271
276	867	2264
277	869	2259
278	874	2259
279	876	2253
280	877	2246
281	879	2239
282	881	2232
283	882	2225
284	884	2218
285	886	2214
286	888	2208
287	890	2201
288	892	2194
289	893	2187
290	895	2181
291	896	2174
292	898	2168
293	902	2166
294	904	2160
295	905	2153
296	907	2147
297	908	2140
298	910	2134
299	911	2127
300	913	2121
301	915	2116
302	917	2111
303	919	2105
304	921	2098
305	922	2092
306	924	2086
307	925	2080
308	927	2074
309	929	2067
310	932	2066
311	934	2060
312	935	2054
313	937	2048
314	939	2042
315	941	2037
316	942	2031
317	944	2025
318	946	2020
319	948	2014
320	949	2008
321	951	2003
322	952	1997
323	954	1991
324	956	1985
325	957	1980
326	960	1977
327	963	1973
328	964	1967
329	966	1962
330	968	1956
331	969	1951
332	971	1946
333	973	1940
334	975	1937
335	978	1932
336	980	1929
337	982	1923
338	984	1918
339	985	1913
340	987	1908
341	991	1907
342	993	1902
343	994	1897
344	996	1892
345	998	1886
346	999	1881
347	1001	1876
348	1003	1871
349	1005	1867
350	1007	1862
351	1009	1857
352	1010	1852
353	1012	1846
354	1013	1842
355	1015	1837
356	1017	1832
357	1020	1830
358	1022	1826
359	1024	1820
360	1025	1815
361	1027	1810
362	1029	1806
363	1031	1801
364	1032	1796
365	1034	1792
366	1036	1787
367	1038	1782
368	1039	1777
369	1041	1772
370	1042	1768
371	1044	1763
372	1046	1758
373	1047	1753
374	1051	1751
375	1052	1747
376	1054	1742
377	1056	1737
378	1058	1734
379	1060	1730
380	1061	1725
381	1064	1721
382	1066	1718
383	1068	1714
384	1070	1709
385	1071	1704
386	1073	1699
387	1074	1695
388	1076	1690
389	1077	1685
390	1080	1682
391	1081	1677
392	1083	1673
393	1085	1668
394	1086	1664
395	1088	1660
396	1089	1655
397	1092	1651
398	1094	1648
399	1096	1644
400	1097	1639
401	1099	1635
402	1101	1631
403	1102	1626
404	1104	1622
405	1105	1617
406	1108	1615
407	1110	1611
408	1112	1607
409	1113	1602
410	1115	1598
411	1117	1594
412	1118	1590
413	1123	1590
414	1125	1586
415	1127	1582
416	1129	1578
417	1131	1575
418	1132	1570
419	1134	1566
420	1139	1566
421	1141	1562
422	1142	1558
423	1144	1554
424	1146	1550
425	1147	1546
426	1150	1543
427	1155	1543
428	1156	1539
429	1158	1535
430	1160	1531
431	1161	1527
432	1163	1523
433	1167	1523
434	1169	1519
435	1171	1514
436	1172	1510
437	1174	1507
438	1176	1502
439	1177	1498
440	1179	1495
441	1182	1492
442	1184	1488
443	1185	1484
444	1187	1480
445	1188	1476
446	1190	1472
447	1192	1468
448	1193	1464
449	1197	1463
450	1199	1459
451	1200	1455
452	1202	1451
453	1203	1447
454	1205	1443
455	1207	1440
456	1208	1436
457	1211	1433
458	1213	1429
459	1214	1425
460	1216	1421
461	1217	1418
462	1219	1414
463	1221	1411
464	1223	1407
465	1226	1406
466	1228	1402
467	1230	1398
468	1231	1394
469	1233	1391
470	1235	1387
471	1236	1383
472	1238	1380
473	1241	1377
474	1243	1373
475	1244	1370
476	1246	1366
477	1247	1362
478	1249	1359
479	1251	1355
480	1252	1351
481	1258	1352
482	1260	1349
483	1262	1345
484	1263	1341
485	1265	1338
486	1267	1334
487	1269	1331
488	1271	1329
489	1273	1325
490	1275	1321
491	1276	1318
492	1278	1314
493	1280	1311
494	1281	1307
495	1283	1304
496	1285	1300
497	1287	1297
498	1289	1295
499	1291	1291
500	1293	1288
501	1295	1284
502	1296	1281
503	1298	1277
504	1300	1274
505	1302	1271
506	1303	1267
507	1305	1264
508	1307	1261
509	1308	1257
510	1310	1254
511	1312	1250
512	1315	1248
513	1317	1245
514	1318	1242
515	1320	1238
516	1321	1234
517	1323	1231
518	1325	1228
519	1327	1225
520	1330	1223
521	1332	1220
522	1333	1216
523	1335	1212
524	1336	1209
525	1338	1206
526	1340	1203
527	1342	1199
528	1345	1198
529	1347	1195
530	1349	1191
531	1351	1188
532	1352	1185
533	1354	1181
534	1355	1178
535	1357	1175
536	1360	1173
537	1362	1169
538	1364	1166
539	1365	1163
540	1367	1160
541	1369	1156
542	1370	1153
543	1372	1150
544	1377	1149
545	1378	1146
546	1380	1143
547	1382	1140
548	1383	1136
549	1386	1134
550	1388	1131
551	1390	1128
552	1392	1125
553	1394	1122
554	1395	1119
555	1397	1115
556	1399	1112
557	1400	1109
558	1402	1106
559	1406	1105
560	1408	1102
561	1410	1098
562	1411	1095
563	1413	1092
564	1415	1089
565	1416	1086
566	1418	1083
567	1420	1080
568	1422	1077
569	1424	1074
570	1425	1071
571	1427	1068
572	1429	1065
573	1431	1062
574	1432	1058
575	1438	1058
576	1439	1055
577	1441	1052
578	1443	1049
579	1444	1046
580	1446	1043
581	1449	1040
582	1451	1037
583	1452	1034
584	1454	1031
585	1456	1028
586	1457	1025
587	1459	1022
588	1460	1019
589	1462	1016
590	1464	1013
591	1466	1010
592	1468	1007
593	1469	1004
594	1471	1001
595	1473	998
596	1475	995
597	1477	992
598	1479	990
599	1480	987
600	1482	984
601	1483	981
602	1485	978
603	1487	974
604	1488	971
605	1490	968
606	1491	965
607	1496	964
608	1497	961
609	1499	958
610	1500	955
611	1502	952
612	1504	949
613	1505	946
614	1507	944
615	1510	941
616	1511	938
617	1513	935
618	1514	932
619	1516	929
620	1518	926
621	1519	923
622	1521	920
623	1524	918
624	1526	915
625	1528	913
626	1529	910
